kata,label,urutan_kata,total_kata
ADISSAGE,not_color,1,2
BLACK/BLACK/RUNWHT,color,2,2
ADISSAGE,not_color,1,2
N.NAVY/N.NAVY/RUNWHT,color,2,2
3,not_color,1,6
STRIPE,not_color,2,6
D,not_color,3,6
29.5,not_color,4,6
BASKETBALL,color,5,6
NATURAL,color,6,6
3S,not_color,1,4
RUBBER,not_color,2,4
X,not_color,3,4
BLACK,color,4,4
ADILETTE,not_color,1,2
BLACK1/WHT/BLACK1,color,2,2
ADILETTE,not_color,1,2
WHITE,color,2,2
TANGO,not_color,1,3
ROSARIO,not_color,2,3
WHITE,color,3,3
CFC,not_color,1,3
SCARF,not_color,2,3
CHEBLU/WHITE,color,3,3
DFB,not_color,1,5
H,not_color,2,5
JSY,not_color,3,5
Y,not_color,4,5
WHITE/BLACK,color,5,5
3S,not_color,1,6
PER,not_color,2,6
N,not_color,3,6
S,not_color,4,6
HC3P,not_color,5,6
BLACK/BLACK/WHITE,color,6,6
3S,not_color,1,6
PER,not_color,2,6
AN,not_color,3,6
HC,not_color,4,6
3P,not_color,5,6
WHITE/WHITE/BLACK,color,6,6
3S,not_color,1,6
PER,not_color,2,6
AN,not_color,3,6
HC,not_color,4,6
3P,not_color,5,6
BLACK/BLACK/BLACK,color,6,6
3S,not_color,1,6
PER,not_color,2,6
AN,not_color,3,6
HC,not_color,4,6
1P,not_color,5,6
WHITE/WHITE/BLACK,color,6,6
3S,not_color,1,6
PER,not_color,2,6
AN,not_color,3,6
HC,not_color,4,6
1P,not_color,5,6
BLACK/BLACK/WHITE,color,6,6
3S,not_color,1,6
PER,not_color,2,6
CR,not_color,3,6
HC,not_color,4,6
3P,not_color,5,6
WHITE/WHITE/WHITE,color,6,6
3S,not_color,1,6
PER,not_color,2,6
CR,not_color,3,6
HC,not_color,4,6
3P,not_color,5,6
BLACK/BLACK/WHITE,color,6,6
3S,not_color,1,6
PER,not_color,2,6
CR,not_color,3,6
HC,not_color,4,6
1P,not_color,5,6
WHITE/WHITE/BLACK,color,6,6
3S,not_color,1,6
PER,not_color,2,6
CR,not_color,3,6
HC,not_color,4,6
1P,not_color,5,6
BLACK/BLACK/WHITE,color,6,6
3S,not_color,1,6
PER,not_color,2,6
CR,not_color,3,6
HC,not_color,4,6
1P,not_color,5,6
MGREYH/MGREYH/BLACK,color,6,6
PER,not_color,1,6
NO,not_color,2,6
SH,not_color,3,6
T,not_color,4,6
3PP,not_color,5,6
WHITE/WHITE/WHITE,color,6,6
PER,not_color,1,6
NO,not_color,2,6
SH,not_color,3,6
T,not_color,4,6
3PP,not_color,5,6
BLACK/BLACK/BLACK,color,6,6
PER,not_color,1,6
NO,not_color,2,6
SH,not_color,3,6
T,not_color,4,6
1PP,not_color,5,6
WHITE/WHITE/BLACK,color,6,6
PER,not_color,1,6
NO,not_color,2,6
SH,not_color,3,6
T,not_color,4,6
1PP,not_color,5,6
BLACK/BLACK/WHITE,color,6,6
PER,not_color,1,6
NO,not_color,2,6
SH,not_color,3,6
T,not_color,4,6
1PP,not_color,5,6
MGREYH/MGREYH/BLACK,color,6,6
PER,not_color,1,5
ANKLE,not_color,2,5
T,not_color,3,5
3PP,not_color,4,5
WHITE/WHITE/WHITE,color,5,5
PER,not_color,1,5
ANKLE,not_color,2,5
T,not_color,3,5
1PP,not_color,4,5
MGREYH/MGREYH/BLACK,color,5,5
AIS,not_color,1,5
RB,not_color,2,5
BRA,not_color,3,5
A/B,not_color,4,5
FLARED/SUPPNK,color,5,5
TREFOIL,not_color,1,3
LINER,not_color,2,3
WHITE/BLACK/MGREYH,color,3,3
MILANO,not_color,1,4
16,not_color,2,4
SOCK,not_color,3,4
DKBLUE/WHITE,color,4,4
CFC,not_color,1,5
ANTH,not_color,2,5
JKT,not_color,3,5
WO,not_color,4,5
CHEBLU/WHITE,color,5,5
ALPHABOUNCE,not_color,1,4
1,not_color,2,4
W,not_color,3,4
TRASCA/NTNAVY/CHACOR,color,4,4
ALPHABOUNCE,not_color,1,4
1,not_color,2,4
W,not_color,3,4
CBLACK/TRGRME/CARBON,color,4,4
ALPHABOUNCE,not_color,1,4
1,not_color,2,4
W,not_color,3,4
GRETHR/GRETWO/CBLACK,color,4,4
EQT,not_color,1,5
BASK,not_color,2,5
ADV,not_color,3,5
W,not_color,4,5
FTWWHT/FTWWHT/ASHBLU,color,5,5
NEMEZIZ,not_color,1,5
TANGO,not_color,2,5
18.1,not_color,3,5
TR,not_color,4,5
FOOBLU/FOOBLU/FTWWHT,color,5,5
NEMEZIZ,not_color,1,5
TANGO,not_color,2,5
18.1,not_color,3,5
TR,not_color,4,5
ASHSIL/ASHSIL/WHITIN,color,5,5
ULTRABOOST,not_color,1,3
UNCAGED,not_color,2,3
RAWGRE/CHAPEA/BLUSPI,color,3,3
ULTRABOOST,not_color,1,2
LEGINK/CARBON/BLUSPI,color,2,2
ALPHABOUNCE,not_color,1,5
CR,not_color,2,5
CC,not_color,3,5
M,not_color,4,5
GREFIV/GRETHR/FTWWHT,color,5,5
ULTRABOOST,not_color,1,4
LACELESS,not_color,2,4
W,not_color,3,4
TECINK/RAWGRE/CBLACK,color,4,4
ULTRABOOST,not_color,1,3
W,not_color,2,3
TECINK/CARBON/BLUSPI,color,3,3
ALPHABOUNCE,not_color,1,4
BEYOND,not_color,2,4
M,not_color,3,4
CBLACK/CBLACK/FTWWHT,color,4,4
ALPHABOUNCE,not_color,1,4
BEYOND,not_color,2,4
M,not_color,3,4
FTWWHT/SILVMT/FTWWHT,color,4,4
DEERUPT,not_color,1,4
RUNNER,not_color,2,4
W,not_color,3,4
SOLRED/SOLRED/BLUBIR,color,4,4
PROPHERE,not_color,1,3
W,not_color,2,3
CBLACK/CBLACK/SOLRED,color,3,3
N,not_color,1,4
5923,not_color,2,4
J,not_color,3,4
CBLACK/FTWWHT/CBLACK,color,4,4
PUREBOOST,not_color,1,3
GO,not_color,2,3
FTWWHT/GREONE/GRETWO,color,3,3
PUREBOOST,,1,2
GOCBLACK/GREFIV/GREFOU,,2,2
FORTAPLAY,not_color,1,4
AC,not_color,2,4
I,not_color,3,4
REAMAG/CHACOR/OWHITE,color,4,4
FORTAPLAY,not_color,1,4
AC,not_color,2,4
I,not_color,3,4
CROYAL/BRBLUE/HIREOR,color,4,4
FORTAPLAY,not_color,1,4
AC,not_color,2,4
I,not_color,3,4
CLELIL/FTWWHT/CLEMIN,color,4,4
FORTAPLAY,not_color,1,4
AC,not_color,2,4
I,not_color,3,4
DKBLUE/VIVGRN/BRBLUE,color,4,4
FORTARUN,not_color,1,5
X,not_color,2,5
CF,not_color,3,5
K,not_color,4,5
MYSINK/HIRAQU/CROYAL,color,5,5
FORTARUN,not_color,1,5
X,not_color,2,5
CF,not_color,3,5
K,not_color,4,5
GRETHR/CLEORA/AERGRN,color,5,5
FORTAGYM,not_color,1,4
CF,not_color,2,4
K,not_color,3,4
CBLACK/CBLACK/CBLACK,color,4,4
FORTAGYM,not_color,1,4
CF,not_color,2,4
K,not_color,3,4
FTWWHT/FTWWHT/FTWWHT,color,4,4
FORTARUN,not_color,1,4
AC,not_color,2,4
K,not_color,3,4
HIRERE/FTWWHT/HIRERE,color,4,4
FORTARUN,not_color,1,4
AC,not_color,2,4
K,not_color,3,4
CBLACK/FTWWHT/CBLACK,color,4,4
FORTARUN,not_color,1,4
AC,not_color,2,4
K,not_color,3,4
CONAVY/BLUE/FTWWHT,color,4,4
FORTARUN,not_color,1,4
AC,not_color,2,4
K,not_color,3,4
CBLACK/CBLACK/CBLACK,color,4,4
FORTARUN,not_color,1,4
AC,not_color,2,4
K,not_color,3,4
FTWWHT/FTWWHT/FTWWHT,color,4,4
FORTARUN,not_color,1,4
AC,not_color,2,4
I,not_color,3,4
HIRERE/FTWWHT/HIRERE,color,4,4
FORTARUN,not_color,1,4
AC,not_color,2,4
I,not_color,3,4
CBLACK/FTWWHT/CBLACK,color,4,4
CFC,not_color,1,4
H,not_color,2,4
JSY,not_color,3,4
CHEBLU/WHITE/POWRED,color,4,4
BASKET,not_color,1,5
ID,not_color,2,5
FC,not_color,3,5
1P,not_color,4,5
WHITE/BLACK/GREY,color,5,5
FEF,not_color,1,7
ANTH,not_color,2,7
JKT,not_color,3,7
WO,not_color,4,7
WHITE/POWER,color,5,7
RED,color,6,7
F05,color,7,7
CFC,not_color,1,4
H,not_color,2,4
JSY,not_color,3,4
CHEBLU/WHITE,color,4,4
LIGHTWEIGHT,not_color,1,3
TAN,not_color,2,3
MINRED,color,3,3
MILANO,not_color,1,4
16,not_color,2,4
SOCK,not_color,3,4
BLACK/WHITE,color,4,4
MILANO,not_color,1,4
16,not_color,2,4
SOCK,not_color,3,4
WHITE/BLACK,color,4,4
MILANO,not_color,1,5
16,not_color,2,5
SOCK,not_color,3,5
POWER,color,4,5
RED,color,5,5
MILANO,not_color,1,5
16,not_color,2,5
SOCK,not_color,3,5
BOLD,color,4,5
BLUE,color,5,5
LINEAR,not_color,1,3
LEGGINGS,not_color,2,3
BLACK,color,3,3
ORIG,not_color,1,4
TREFOIL,not_color,2,4
T,not_color,3,4
WHITE,color,4,4
BUCKET,not_color,1,4
HAT,not_color,2,4
AC,not_color,3,4
BLACK,color,4,4
TT,not_color,1,5
ID,not_color,2,5
LIGH,not_color,3,5
TC1P,not_color,4,5
SESOSL/DGREYH/BLACK,color,5,5
TT,not_color,1,5
ID,not_color,2,5
LIGH,not_color,3,5
TC1P,not_color,4,5
EQTBLU/GREY/WHITE,color,5,5
3S,not_color,1,4
PER,not_color,2,4
BP,not_color,3,4
BLACK/BLACK/VISGRE,color,4,4
AEROK,not_color,1,3
TEE,not_color,2,3
CCMELS,color,3,3
AEROK,not_color,1,3
TANK,not_color,2,3
CCMELS,color,3,3
AEROK,not_color,1,3
SHORTS,not_color,2,3
CCMEBL,color,3,3
BASKET,not_color,1,5
ID,not_color,2,5
FC,not_color,3,5
1P,not_color,4,5
BLACK/DGREYH/WHITE,color,5,5
CLASSIC,not_color,1,3
LITE,not_color,2,3
WHITE/BLACK/SOLRED,color,3,3
EVERLESTO,not_color,1,2
BLACK/WHITE/SOLRED,color,2,2
EVERLESTO,not_color,1,2
WHITE/BLACK/SOLRED,color,2,2
PRO,not_color,1,4
ELEVATE,not_color,2,4
2018,not_color,3,4
CBLACK/FTWWHT/CBLACK,color,4,4
ADILETTE,not_color,1,3
CF+,not_color,2,3
CBLACK/FTWWHT/CBLACK,color,3,3
D,not_color,1,4
ROSE,not_color,2,4
LETHALITY,not_color,3,4
CBLACK/SCARLE/FTWWHT,color,4,4
EDGE,not_color,1,4
LUX,not_color,2,4
CLIMA,not_color,3,4
TECINK/TRABLU/BLUTIN,color,4,4
EDGE,not_color,1,4
LUX,not_color,2,4
CLIMA,not_color,3,4
GRETWO/GRETWO/FTWWHT,color,4,4
SUPERSTAR,not_color,1,3
WM,not_color,2,3
CBLACK/MGSOGR/FTWWHT,color,3,3
SUPERSTAR,not_color,1,3
WM,not_color,2,3
LGREYH/REATEA/FTWWHT,color,3,3
ULTRABOOST,not_color,1,6
X,not_color,2,6
ALL,not_color,3,6
TERRAIN,not_color,4,6
LTD,not_color,5,6
CBROWN/TRAMAR/CHACOR,color,6,6
ULTRABOOST,not_color,1,4
ALL,not_color,2,4
TERRAIN,not_color,3,4
CBROWN/CBROWN/CBLACK,color,4,4
ULTRABOOST,not_color,1,1
CLIMA,not_color,2,2
FTWWHT/FTWWHT/SYELLO,color,3,3
ULTRABOOST,not_color,1,1
CLIMA,not_color,2,2
CBLACK/CBLACK/SOLRED,color,3,3
AEROBOUNCE,not_color,1,4
2,not_color,2,4
M,not_color,3,4
SOLRED/SILVMT/SCARLE,color,4,4
AEROBOUNCE,not_color,1,4
2,not_color,2,4
M,not_color,3,4
CBLACK/SILVMT/HIRAQU,color,4,4
ALPHABOUNCE,not_color,1,4
RC.2,not_color,2,4
M,not_color,3,4
CBLACK/TRGRME/GREFIV,color,4,4
ALPHABOUNCE,not_color,1,4
RC2,not_color,2,4
M,not_color,3,4
CARBON/CARBON/CBLACK,color,4,4
ALPHABOUNCE,not_color,1,5
BEYOND,not_color,2,5
CK,not_color,3,5
M,not_color,4,5
CBLACK/CARBON/SHOPNK,color,5,5
ALPHABOUNCE,not_color,1,4
BEYOND,not_color,2,4
M,not_color,3,4
CARBON/GRETHR/CBLACK,color,4,4
ALPHABOUNCE,not_color,1,4
BEYOND,not_color,2,4
M,not_color,3,4
CLOWHI/CLOWHI/LEGINK,color,4,4
PREDATOR,not_color,1,5
TANGO,not_color,2,5
18+,not_color,3,5
TR,not_color,4,5
CBLACK/CBLACK/RED,color,5,5
ALPHABOUNCE,not_color,1,4
BEYOND,not_color,2,4
RLF,not_color,3,4
CBLACK/SILVMT/CBLACK,color,4,4
SWIFT,not_color,1,4
RUN,not_color,2,4
W,not_color,3,4
BASGRN/FTWWHT/CBLACK,color,4,4
SUPERSTAR,not_color,1,5
SLIP,not_color,2,5
ON,not_color,3,5
W,not_color,4,5
RAWGRE/RAWGRE/FTWWHT,color,5,5
GAZELLE,not_color,1,3
S&T,not_color,2,3
STPANU/STPANU/OWHITE,color,3,3
SUPERSTAR,not_color,1,5
SLIP,not_color,2,5
ON,not_color,3,5
W,not_color,4,5
CLEORA/CLEORA/FTWWHT,color,5,5
NMD,not_color,1,5
R1,not_color,2,5
STLT,not_color,3,5
PK,not_color,4,5
CBLACK/NOBGRN/BGREEN,color,5,5
NMD_R1,not_color,1,5
STLT,not_color,2,5
PARLEY,not_color,3,5
PK,not_color,4,5
CBLACK/BLUSPI/EQTGRN,color,5,5
NMD,not_color,1,4
CS1,not_color,2,4
PK,not_color,3,4
CORBLU/CBLACK/FTWWHT,color,4,4
EQT,not_color,1,4
BASK,not_color,2,4
ADV,not_color,3,4
CBLACK/FTWWHT/HIRERE,color,4,4
SUPERSTAR,not_color,1,4
80S,not_color,2,4
CLEAN,not_color,3,4
FTWWHT/FTWWHT/GOLDMT,color,4,4
EQT,not_color,1,5
SUPPORT,not_color,2,5
PK,not_color,3,5
3-Jan,not_color,4,5
GRETWO/FTWWHT/SUBGRN,color,5,5
EQT,not_color,1,4
SUPPORT,not_color,2,4
91/18,not_color,3,4
CBLACK/CGRANI/SUBGRN,color,4,4
PW,not_color,1,4
TENNIS,not_color,2,4
HU,not_color,3,4
CBLACK/CBLACK/CWHITE,color,4,4
POD,not_color,1,3
S3.1,not_color,2,3
CBLACK/CBLACK/GRETWO,color,3,3
STAN,not_color,1,6
SMITH,not_color,2,6
NEW,not_color,3,6
BOLD,not_color,4,6
W,not_color,5,6
CLOWHI/FTWWHT/FTWWHT,color,6,6
CAMPUS,not_color,1,2
RAWIND/FTWWHT/CRYWHT,color,2,2
NMD_R1,not_color,1,5
STLT,not_color,2,5
PK,not_color,3,5
W,not_color,4,5
CLEORA/CLEORA/CLOWHI,color,5,5
N,not_color,1,4
5923,not_color,2,4
W,not_color,3,4
OWHITE/FTWWHT/CBLACK,color,4,4
SAMBAROSE,not_color,1,3
W,not_color,2,3
FTWWHT/CBLACK/GUM5,color,3,3
SOBAKOV,not_color,1,2
CBLACK/FTWWHT/GUM3,color,2,2
PROPHERE,not_color,1,3
W,not_color,2,3
CLEMIN/CLEMIN/SOLRED,color,3,3
TUBULAR,not_color,1,3
DUSK,not_color,2,3
CBLACK/FTWWHT/SOLRED,color,3,3
KAMANDA,not_color,1,3
1,not_color,2,3
ENEINK/ENEINK/CRYWHT,color,3,3
CLOUDFOAM,not_color,1,4
ILATION,not_color,2,4
MID,not_color,3,4
FTWWHT/CBLACK/MSILVE,color,4,4
CLOUDFOAM,not_color,1,4
ILATION,not_color,2,4
MID,not_color,3,4
CBLACK/MSILVE/FTWWHT,color,4,4
CF,not_color,1,4
QTFLEX,not_color,2,4
W,not_color,3,4
CBLACK/CBLACK/TRAPNK,color,4,4
RACER,not_color,1,4
TR,not_color,2,4
INF,not_color,3,4
SCARLE/CBLACK/FTWWHT,color,4,4
RACER,not_color,1,4
TR,not_color,2,4
INF,not_color,3,4
PETNIT/CBLACK/FTWWHT,color,4,4
RACER,not_color,1,4
TR,not_color,2,4
INF,not_color,3,4
SUPPNK/CBLACK/FTWWHT,color,4,4
ADILETTE,not_color,1,3
SHOWER,not_color,2,3
CBLACK/FTWWHT/CBLACK,color,3,3
ADILETTE,not_color,1,3
SHOWER,not_color,2,3
CONAVY/FTWWHT/CONAVY,color,3,3
POD,not_color,1,4
S3.1,not_color,2,4
C,not_color,3,4
CBLACK/CBLACK/LEGIVY,color,4,4
X_PLR,not_color,1,3
J,not_color,2,3
GREONE/FTWWHT/FTWWHT,color,3,3
ADILETTE,not_color,1,4
CF,not_color,2,4
ULTRA,not_color,3,4
CBLACK/CBLACK/CBLACK,color,4,4
GOLETTO,not_color,1,4
VI,not_color,2,4
FG,not_color,3,4
CBLACK/FTWWHT/SOLRED,color,4,4
GOLETTO,not_color,1,4
VI,not_color,2,4
IN,not_color,3,4
CBLACK/FTWWHT/SOLRED,color,4,4
ADILETTE,not_color,1,4
CF,not_color,2,4
ULTRA,not_color,3,4
CONAVY/CONAVY/CONAVY,color,4,4
KYASO,not_color,1,3
ADJ,not_color,2,3
CBLACK/FTWWHT/CBLACK,color,3,3
KYASO,not_color,1,3
ADJ,not_color,2,3
SHOBLU/CONAVY/CONAVY,color,3,3
VOLOOMIX,not_color,1,2
CBLACK/SILVMT/CBLACK,color,2,2
